method,scenario_id,step,q_R_x,q_R_y,q_R_z,rate_HR,rate_RL,rate_e2e,reward,constraint_violation,rate_bps,rate_mbps,source_file,source_stage,git_commit,source_code_hash
TD3,eval_0,56,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444419,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,57,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444504,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,58,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444421,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,59,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444494,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,60,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444432,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,61,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444643,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,62,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444448,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,63,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444419,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,64,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444583,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,65,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444439,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,66,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444442,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,67,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444548,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
