algorithm,training_seed,evaluation_episode,scenario_id,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,total_reward,outage_count,constraint_violation_count,trajectory_length,rate_bps,rate_mbps,source_file,source_stage,git_commit,source_code_hash
A2_no_balance_penalty,2,2,eval_2,4609629.610333514,9219259.220667029,11024521.294524737,694.6585824168376,2880.7451622761496,377.062961088306,0,83,100,4609629.61033,4.60962961033,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A2_no_balance_penalty,2,3,eval_3,5120625.0315926215,10241250.063185243,11023688.26190199,1296.894052548393,2169.808011736768,420.1625032094747,0,91,100,5120625.03159,5.12062503159,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A2_no_balance_penalty,2,4,eval_4,4049665.1290589976,8099330.258117995,10888729.461339088,299.54679565194385,2271.3535232629797,316.0665129580381,0,88,100,4049665.12906,4.04966512906,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A3_no_energy_penalty,0,0,eval_0,3760970.709317697,7521941.418635394,14865986.294698961,215.6439495208241,33336.40475738781,277.51390953734983,0,82,100,3760970.70932,3.76097070932,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A3_no_energy_penalty,0,1,eval_1,4701255.453359009,9402510.906718018,11828355.911753194,743.0309962205398,3895.1974743749056,380.36748298884817,0,84,100,4701255.45336,4.70125545336,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A3_no_energy_penalty,0,2,eval_2,3954817.5572015876,7909635.114403175,12299482.437276127,240.92254645866507,6300.275561391634,301.68356226645847,0,83,100,3954817.5572,3.9548175572,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A3_no_energy_penalty,0,3,eval_3,4282088.320312471,8564176.640624942,15936716.801077858,378.4978595065055,78416.164269218,332.2100570199199,0,81,100,4282088.32031,4.28208832031,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A3_no_energy_penalty,0,4,eval_4,4015637.7062657066,8031275.412531413,12148204.696792906,263.6863984496512,4968.438873263408,310.3895245814013,0,81,100,4015637.70627,4.01563770627,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A3_no_energy_penalty,1,0,eval_0,4840095.0907258475,9812032.707915531,10734703.816045882,1287.0212704889163,2057.0110462381194,390.6907615680096,0,90,100,4840095.09073,4.84009509073,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A3_no_energy_penalty,1,1,eval_1,5077027.658639632,10154055.317279264,11225364.153205803,1323.344281375437,2632.2205633475114,417.0940449915552,0,88,100,5077027.65864,5.07702765864,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
