episode,episode_reward,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,outage_count,constraint_violation_count,trajectory_length,actor_loss,critic_loss,q1_mean,q2_mean,replay_buffer_size,exploration_noise,algorithm,training_seed,rate_bps,rate_mbps,source_file,source_stage,git_commit,source_code_hash
40,211.39269764315284,3220047.2536410457,6440094.507282091,14809437.169181796,125.90937717896874,40534.52116967883,0,90,100,,0.6019540429115295,0.8962445855140686,0.9299600720405579,4000,0.08183201210226744,TD3,0,3220047.25364,3.22004725364,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
41,211.1280876611686,3214584.208486566,6429168.416973132,14572896.491964227,130.62526304241442,32941.529527033934,0,90,100,-1.0546092987060547,0.6001862287521362,0.8977328538894653,0.9051694869995117,4100,0.0814228520417561,TD3,0,3214584.20849,3.21458420849,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
42,212.6499786812394,3241457.172519307,6482914.345038614,14825922.121286262,125.60192133082245,40131.52154532344,0,91,100,,0.5296676158905029,1.0263652801513672,1.0104981660842896,4200,0.08101573778154732,TD3,0,3241457.17252,3.24145717252,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
43,217.58893117662493,3276175.8317978014,6552351.663595603,14670415.30942831,133.61821680169268,37772.07479639861,0,90,100,-1.3465118408203125,0.5453027486801147,1.1101880073547363,1.0834052562713623,4300,0.08061065909263958,TD3,0,3276175.8318,3.2761758318,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
44,211.9922535488175,3237699.0672690277,6475398.134538055,15000727.654757561,120.35497147163792,45259.35732041875,0,91,100,,0.4479237198829651,1.0858986377716064,1.0518889427185059,4400,0.08020760579717638,TD3,0,3237699.06727,3.23769906727,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
45,215.89281986961203,3271118.5704851453,6542237.140970291,14768808.022239259,128.6640713945033,38317.053029167306,0,91,100,-1.3311774730682373,0.6078669428825378,1.1255728006362915,1.1246397495269775,4500,0.0798065677681905,TD3,0,3271118.57049,3.27111857049,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
46,208.23687691158392,3222733.577740072,6445467.155480144,15102724.17845251,114.59130882647415,44619.96331243592,0,93,100,,0.5008755326271057,1.0632010698318481,1.1122407913208008,4600,0.07940753492934956,TD3,0,3222733.57774,3.22273357774,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
47,212.7176093021237,3254430.8790407013,6508861.758081403,15054537.25295257,119.5065507455221,46873.82773815641,0,92,100,-1.2908047437667847,0.520976185798645,1.0209259986877441,1.0973886251449585,4700,0.07901049725470281,TD3,0,3254430.87904,3.25443087904,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
48,205.57642709988613,3199102.149515539,6398204.299031078,15192830.020738488,110.44935939501626,45807.48559896807,0,93,100,,0.5977013111114502,1.0325473546981812,1.1268951892852783,4800,0.0786154447684293,TD3,0,3199102.14952,3.19910214952,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
49,206.7372371243663,3200943.038160281,6401886.076320562,15222350.074373035,110.31093670846536,48637.60123175685,0,92,100,-1.4435572624206543,0.5709344148635864,1.096732258796692,1.1837133169174194,4900,0.07822236754458715,TD3,0,3200943.03816,3.20094303816,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
